cat|length
145|612.205365189858
146|1002.1396815331
147|5189.68275328917
148|1600.01175159327
149|32150.2141541875
150|21214.8780691761
151|4397.97473958707
152|21511.6359063066
153|4721.64723704218
154|14817.9217987652
155|73719.4410359607
156|22771.778345637
157|18503.8244257607
158|1506.27630724979
159|6575.11334929156
160|2731.64097854157
161|13562.9628426058
162|78710.7139364141
163|29012.3443807086
164|23519.0778315635
165|26929.3428762858
166|5973.00309260289
167|36257.7055891502
168|4472.53753207236
169|13874.69875937
170|11756.5447363988
171|15650.2583856175
172|1466.23102131416
173|267.566013918138
174|46424.6127325327
175|1738.38197803288
176|1132.41845868825
177|4814.97845104841
178|4936.32106604566
179|7855.33801867031
180|17711.0220400446
181|5220.63850510048
182|12467.8390212857
183|9454.93954626697
184|11555.4913908971
185|23647.6054817582
186|17799.0498532997
187|4958.13923590453
188|4243.56012545933
189|15105.2351569913
190|7387.97490511086
191|8490.11440209115
192|66095.7588292889
193|12148.9914154399
194|72746.0849496346
195|54076.8230690876
196|55144.0797580581
197|35952.7243533892
198|45489.6493363233
199|36635.2456704494
200|10297.8286161368
201|8458.94207870425
202|5581.0180898514
203|1068.28598270497
204|5414.90355071703
205|2254.00138484776
206|3198.27463905055
207|46342.2646390649
208|320.732618156089
209|14.9713774974785
210|3967.18753559495
211|15463.5265686577
212|26734.0608988625
213|2105.02790912705
214|8781.42958596462
215|8011.5866964396
216|9059.64781919372
217|8880.85331515985
218|1538.32930915668
219|41082.9845339544
220|11378.8862510382
221|21368.5568749207
222|13362.0190858526
223|57451.6882645795
224|6498.53337530302
225|12084.9234735455
226|15505.4500129134
227|17335.8087792024
228|5955.70914423583
229|8780.68691648334
230|9384.04073764982
231|18861.6494623267
232|3652.53248784807
233|17812.9057402551
234|5569.35866893947
235|11401.7876472253
236|9795.04191042372
237|16.7091158407787
238|11493.7354751218
239|10520.7743835795
240|44834.2480901115
241|12409.7752426641
242|31437.9459604023
243|13159.8827751102
244|14112.1239286963
245|41567.9870178673
246|15578.1894760078
247|2626.36687937862
248|48095.7126852069
249|66495.4183856911
250|55280.0630990751
251|39527.1600798369
252|14614.3372535988
253|14995.5041411791
254|101064.450420061
255|5114.25148108063
256|5986.58818263589
257|3013.29461369121
258|1690.04139340908
259|1396.56134646138
260|23211.9198651493
261|80553.4021280508
262|36388.1458013057
263|29392.0977040459
264|11081.9919264659
265|14729.7662593599
266|1268.0369561941
267|1826.45348564441
268|1481.16004618129
269|1191.43938794413
270|930.216203578135
271|1194.04685334265
272|18833.2630844131
273|1124.46487127384
274|1444.47899004059
275|1637.54754723127
276|684.358416724851
277|2867.74130643332
278|1830.94690437137
279|2757.97822346251
280|6872.45844915583
281|245948.439540505
282|5452.5230014214
283|2643.92201692016
284|24505.9447435771
285|13867.8428920861
286|53454.2743713376
287|24446.4944536685
288|25146.8915299901
289|15091.5651179244
290|40221.071079467
291|1534.86349782175
292|40951.2861261775
293|8143.14815405312
294|78425.5246922646
295|484.369133981628
296|5909.58533623205
297|6963.92652497179
298|11018.8524189597
299|91537.0429264131
300|7496.06914526755
301|2812.50928543082
302|50384.8962619785
303|8455.20962502047
304|18921.7908152458
305|5607.19217316692
306|3074.53730220328
307|3686.76280716074
308|70678.4272362633
309|11169.7754065727
310|12924.4688029692
311|6255.74359036653
312|8003.28586922336
313|3300.71045586478
314|2099.44910084494
315|96151.4942737632
316|18103.5116381335
317|30898.5286264519
318|48586.4368596127
319|5696.75175892025
320|31545.194344727
321|33760.3640669516
322|8319.6947600988
323|4114.81217650857
324|1531.7818262462
325|1490.78823588062
326|4132.54594357216
327|4607.99732700293
328|72690.3376876572
329|26887.392358948
330|1544.10934539845
331|2530.60777379625
332|4273.2686965651
333|11854.9965874646
334|252602.269231959
335|3970.76774460897
336|16463.5119809127
337|18371.2097185122
338|15614.3582115599
339|13695.2494349299
340|10463.4777974898
341|17711.9926924166
342|6319.15070039568
343|33422.0515559881
344|25638.7646036215
345|13140.0194567762
346|35816.1451655377
347|2497.95100766614
348|19021.2867214418
349|113378.515638278
350|8982.48558269796
351|8540.67264699362
352|969.364513417016
353|1273.47189190845
354|194619.569867467
355|14672.2084298181
356|2015.57283508461
357|6898.44377054896
358|5473.29262892735
359|6483.5691364692
360|24646.4061744696
361|7394.44492820075
362|2338.69522645983
363|8042.50507541571
364|319.144491664004
365|1228.05400474454
366|2026.70348775113
367|4728.18485061282
368|1891.01802564082
369|188.585507002006
